host_ts,topic,payload_len,payload
2026-07-17T06:03:01,health_monitor/node_2/cs_ppg,311,"{""ts"":24118,""hr"":79,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":0.5500,""ir"":[0.7100,0.7641,0.8146,0.8590,0.8951,0.9210,0.9354,0.9373,0.9265,0.9033,0.8684,0.8234,0.7701,0.7107,0.6479,0.5842,0.5226,0.4656,0.4157,0.3749,0.3450,0.3272,0.3220,0.3295,0.3491,0.3797,0.4197,0.4671,0.5194,0.5743,0.6289,0.6807]}"
2026-07-17T06:03:01,health_monitor/node_1/cs_imu,1529,"{""ts"":24147,""finger"":true,""mean_ax"":0.1000,""ax"":[0.3400,0.3758,0.4105,0.4428,0.4719,0.4967,0.5164,0.5304,0.5383,0.5398,0.5348,0.5235,0.5063,0.4837,0.4565,0.4255,0.3917,0.3563,0.3204,0.2850,0.2515,0.2208,0.1940,0.1719,0.1552,0.1445,0.1401,0.1422,0.1506,0.1652,0.1854,0.2107],""mean_ay"":0.2000,""ay"":[0.6083,0.6249,0.6356,0.6399,0.6378,0.6293,0.6146,0.5944,0.5691,0.5397,0.5070,0.4722,0.4363,0.4006,0.3661,0.3340,0.3054,0.2811,0.2619,0.2485,0.2413,0.2405,0.2461,0.2580,0.2758,0.2989,0.3265,0.3579,0.3918,0.4274,0.4633,0.4985],""mean_az"":0.3000,""az"":[0.7219,0.7040,0.6809,0.6532,0.6218,0.5878,0.5523,0.5164,0.4812,0.4479,0.4176,0.3913,0.3697,0.3537,0.3437,0.3400,0.3428,0.3520,0.3672,0.3880,0.4137,0.4436,0.4765,0.5115,0.5474,0.5830,0.6173,0.6491,0.6773,0.7011,0.7197,0.7325],""mean_gx"":0.4000,""gx"":[0.6682,0.6323,0.5967,0.5624,0.5307,0.5024,0.4787,0.4601,0.4474,0.4409,0.4408,0.4471,0.4597,0.4781,0.5018,0.5299,0.5615,0.5957,0.6314,0.6673,0.7023,0.7353,0.7653,0.7912,0.8122,0.8276,0.8370,0.8400,0.8365,0.8268,0.8109,0.7896],""mean_gy"":0.5000,""gy"":[0.5886,0.5677,0.5523,0.5430,0.5400,0.5435,0.5534,0.5692,0.5906,0.6169,0.6471,0.6803,0.7154,0.7514,0.7869,0.8210,0.8524,0.8802,0.9035,0.9215,0.9336,0.9395,0.9389,0.9319,0.9187,0.8997,0.8756,0.8470,0.8151,0.7807,0.7450,0.7091],""mean_gz"":0.6000,""gz"":[0.6482,0.6615,0.6805,0.7047,0.7332,0.7652,0.7996,0.8354,0.8712,0.9061,0.9388,0.9684,0.9937,1.0142,1.0289,1.0376,1.0399,1.0358,1.0253,1.0088,0.9869,0.9602,0.9296,0.8962,0.8609,0.8250,0.7895,0.7557,0.7246,0.6972,0.6744,0.6570],""relayed_by"":2}"
2026-07-17T06:03:04,health_monitor/node_2/cs_ppg,311,"{""ts"":27141,""hr"":79,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":0.5500,""ir"":[0.7200,0.7741,0.8246,0.8690,0.9051,0.9310,0.9454,0.9473,0.9365,0.9133,0.8784,0.8334,0.7801,0.7207,0.6579,0.5942,0.5326,0.4756,0.4257,0.3849,0.3550,0.3372,0.3320,0.3395,0.3591,0.3897,0.4297,0.4771,0.5294,0.5843,0.6389,0.6907]}"
2026-07-17T06:03:04,health_monitor/node_1/cs_imu,1529,"{""ts"":27173,""finger"":true,""mean_ax"":0.1000,""ax"":[0.3700,0.4058,0.4405,0.4728,0.5019,0.5267,0.5464,0.5604,0.5683,0.5698,0.5648,0.5535,0.5363,0.5137,0.4865,0.4555,0.4217,0.3863,0.3504,0.3150,0.2815,0.2508,0.2240,0.2019,0.1852,0.1745,0.1701,0.1722,0.1806,0.1952,0.2154,0.2407],""mean_ay"":0.2000,""ay"":[0.6383,0.6549,0.6656,0.6699,0.6678,0.6593,0.6446,0.6244,0.5991,0.5697,0.5370,0.5022,0.4663,0.4306,0.3961,0.3640,0.3354,0.3111,0.2919,0.2785,0.2713,0.2705,0.2761,0.2880,0.3058,0.3289,0.3565,0.3879,0.4218,0.4574,0.4933,0.5285],""mean_az"":0.3000,""az"":[0.7519,0.7340,0.7109,0.6832,0.6518,0.6178,0.5823,0.5464,0.5112,0.4779,0.4476,0.4213,0.3997,0.3837,0.3737,0.3700,0.3728,0.3820,0.3972,0.4180,0.4437,0.4736,0.5065,0.5415,0.5774,0.6130,0.6473,0.6791,0.7073,0.7311,0.7497,0.7625],""mean_gx"":0.4000,""gx"":[0.6982,0.6623,0.6267,0.5924,0.5607,0.5324,0.5087,0.4901,0.4774,0.4709,0.4708,0.4771,0.4897,0.5081,0.5318,0.5599,0.5915,0.6257,0.6614,0.6973,0.7323,0.7653,0.7953,0.8212,0.8422,0.8576,0.8670,0.8700,0.8665,0.8568,0.8409,0.8196],""mean_gy"":0.5000,""gy"":[0.6186,0.5977,0.5823,0.5730,0.5700,0.5735,0.5834,0.5992,0.6206,0.6469,0.6771,0.7103,0.7454,0.7814,0.8169,0.8510,0.8824,0.9102,0.9335,0.9515,0.9636,0.9695,0.9689,0.9619,0.9487,0.9297,0.9056,0.8770,0.8451,0.8107,0.7750,0.7391],""mean_gz"":0.6000,""gz"":[0.6782,0.6915,0.7105,0.7347,0.7632,0.7952,0.8296,0.8654,0.9012,0.9361,0.9688,0.9984,1.0237,1.0442,1.0589,1.0676,1.0699,1.0658,1.0553,1.0388,1.0169,0.9902,0.9596,0.9262,0.8909,0.8550,0.8195,0.7857,0.7546,0.7272,0.7044,0.6870],""relayed_by"":2}"
2026-07-17T06:03:07,health_monitor/node_2/cs_ppg,311,"{""ts"":30164,""hr"":79,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":0.5500,""ir"":[0.6300,0.6841,0.7346,0.7790,0.8151,0.8410,0.8554,0.8573,0.8465,0.8233,0.7884,0.7434,0.6901,0.6307,0.5679,0.5042,0.4426,0.3856,0.3357,0.2949,0.2650,0.2472,0.2420,0.2495,0.2691,0.2997,0.3397,0.3871,0.4394,0.4943,0.5489,0.6007]}"
2026-07-17T06:03:07,health_monitor/node_1/cs_imu,1529,"{""ts"":30197,""finger"":true,""mean_ax"":0.1000,""ax"":[0.4000,0.4358,0.4705,0.5028,0.5319,0.5567,0.5764,0.5904,0.5983,0.5998,0.5948,0.5835,0.5663,0.5437,0.5165,0.4855,0.4517,0.4163,0.3804,0.3450,0.3115,0.2808,0.2540,0.2319,0.2152,0.2045,0.2001,0.2022,0.2106,0.2252,0.2454,0.2707],""mean_ay"":0.2000,""ay"":[0.6683,0.6849,0.6956,0.6999,0.6978,0.6893,0.6746,0.6544,0.6291,0.5997,0.5670,0.5322,0.4963,0.4606,0.4261,0.3940,0.3654,0.3411,0.3219,0.3085,0.3013,0.3005,0.3061,0.3180,0.3358,0.3589,0.3865,0.4179,0.4518,0.4874,0.5233,0.5585],""mean_az"":0.3000,""az"":[0.7819,0.7640,0.7409,0.7132,0.6818,0.6478,0.6123,0.5764,0.5412,0.5079,0.4776,0.4513,0.4297,0.4137,0.4037,0.4000,0.4028,0.4120,0.4272,0.4480,0.4737,0.5036,0.5365,0.5715,0.6074,0.6430,0.6773,0.7091,0.7373,0.7611,0.7797,0.7925],""mean_gx"":0.4000,""gx"":[0.7282,0.6923,0.6567,0.6224,0.5907,0.5624,0.5387,0.5201,0.5074,0.5009,0.5008,0.5071,0.5197,0.5381,0.5618,0.5899,0.6215,0.6557,0.6914,0.7273,0.7623,0.7953,0.8253,0.8512,0.8722,0.8876,0.8970,0.9000,0.8965,0.8868,0.8709,0.8496],""mean_gy"":0.5000,""gy"":[0.6486,0.6277,0.6123,0.6030,0.6000,0.6035,0.6134,0.6292,0.6506,0.6769,0.7071,0.7403,0.7754,0.8114,0.8469,0.8810,0.9124,0.9402,0.9635,0.9815,0.9936,0.9995,0.9989,0.9919,0.9787,0.9597,0.9356,0.9070,0.8751,0.8407,0.8050,0.7691],""mean_gz"":0.6000,""gz"":[0.7082,0.7215,0.7405,0.7647,0.7932,0.8252,0.8596,0.8954,0.9312,0.9661,0.9988,1.0284,1.0537,1.0742,1.0889,1.0976,1.0999,1.0958,1.0853,1.0688,1.0469,1.0202,0.9896,0.9562,0.9209,0.8850,0.8495,0.8157,0.7846,0.7572,0.7344,0.7170],""relayed_by"":2}"
2026-07-17T06:03:10,health_monitor/node_2/cs_ppg,311,"{""ts"":33202,""hr"":79,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":0.5500,""ir"":[0.6400,0.6941,0.7446,0.7890,0.8251,0.8510,0.8654,0.8673,0.8565,0.8333,0.7984,0.7534,0.7001,0.6407,0.5779,0.5142,0.4526,0.3956,0.3457,0.3049,0.2750,0.2572,0.2520,0.2595,0.2791,0.3097,0.3497,0.3971,0.4494,0.5043,0.5589,0.6107]}"
2026-07-17T06:03:10,health_monitor/node_1/cs_imu,1529,"{""ts"":33226,""finger"":true,""mean_ax"":0.1000,""ax"":[0.4300,0.4658,0.5005,0.5328,0.5619,0.5867,0.6064,0.6204,0.6283,0.6298,0.6248,0.6135,0.5963,0.5737,0.5465,0.5155,0.4817,0.4463,0.4104,0.3750,0.3415,0.3108,0.2840,0.2619,0.2452,0.2345,0.2301,0.2322,0.2406,0.2552,0.2754,0.3007],""mean_ay"":0.2000,""ay"":[0.6983,0.7149,0.7256,0.7299,0.7278,0.7193,0.7046,0.6844,0.6591,0.6297,0.5970,0.5622,0.5263,0.4906,0.4561,0.4240,0.3954,0.3711,0.3519,0.3385,0.3313,0.3305,0.3361,0.3480,0.3658,0.3889,0.4165,0.4479,0.4818,0.5174,0.5533,0.5885],""mean_az"":0.3000,""az"":[0.8119,0.7940,0.7709,0.7432,0.7118,0.6778,0.6423,0.6064,0.5712,0.5379,0.5076,0.4813,0.4597,0.4437,0.4337,0.4300,0.4328,0.4420,0.4572,0.4780,0.5037,0.5336,0.5665,0.6015,0.6374,0.6730,0.7073,0.7391,0.7673,0.7911,0.8097,0.8225],""mean_gx"":0.4000,""gx"":[0.7582,0.7223,0.6867,0.6524,0.6207,0.5924,0.5687,0.5501,0.5374,0.5309,0.5308,0.5371,0.5497,0.5681,0.5918,0.6199,0.6515,0.6857,0.7214,0.7573,0.7923,0.8253,0.8553,0.8812,0.9022,0.9176,0.9270,0.9300,0.9265,0.9168,0.9009,0.8796],""mean_gy"":0.5000,""gy"":[0.6786,0.6577,0.6423,0.6330,0.6300,0.6335,0.6434,0.6592,0.6806,0.7069,0.7371,0.7703,0.8054,0.8414,0.8769,0.9110,0.9424,0.9702,0.9935,1.0115,1.0236,1.0295,1.0289,1.0219,1.0087,0.9897,0.9656,0.9370,0.9051,0.8707,0.8350,0.7991],""mean_gz"":0.6000,""gz"":[0.7382,0.7515,0.7705,0.7947,0.8232,0.8552,0.8896,0.9254,0.9612,0.9961,1.0288,1.0584,1.0837,1.1042,1.1189,1.1276,1.1299,1.1258,1.1153,1.0988,1.0769,1.0502,1.0196,0.9862,0.9509,0.9150,0.8795,0.8457,0.8146,0.7872,0.7644,0.7470],""relayed_by"":2}"
2026-07-17T06:03:13,health_monitor/node_2/cs_ppg,311,"{""ts"":36222,""hr"":79,""spo2"":98.0,""ppg_valid"":true,""finger"":true,""mean_ir"":0.5500,""ir"":[0.6500,0.7041,0.7546,0.7990,0.8351,0.8610,0.8754,0.8773,0.8665,0.8433,0.8084,0.7634,0.7101,0.6507,0.5879,0.5242,0.4626,0.4056,0.3557,0.3149,0.2850,0.2672,0.2620,0.2695,0.2891,0.3197,0.3597,0.4071,0.4594,0.5143,0.5689,0.6207]}"
2026-07-17T06:03:13,health_monitor/node_1/cs_imu,1529,"{""ts"":36252,""finger"":true,""mean_ax"":0.1000,""ax"":[0.4600,0.4958,0.5305,0.5628,0.5919,0.6167,0.6364,0.6504,0.6583,0.6598,0.6548,0.6435,0.6263,0.6037,0.5765,0.5455,0.5117,0.4763,0.4404,0.4050,0.3715,0.3408,0.3140,0.2919,0.2752,0.2645,0.2601,0.2622,0.2706,0.2852,0.3054,0.3307],""mean_ay"":0.2000,""ay"":[0.7283,0.7449,0.7556,0.7599,0.7578,0.7493,0.7346,0.7144,0.6891,0.6597,0.6270,0.5922,0.5563,0.5206,0.4861,0.4540,0.4254,0.4011,0.3819,0.3685,0.3613,0.3605,0.3661,0.3780,0.3958,0.4189,0.4465,0.4779,0.5118,0.5474,0.5833,0.6185],""mean_az"":0.3000,""az"":[0.8419,0.8240,0.8009,0.7732,0.7418,0.7078,0.6723,0.6364,0.6012,0.5679,0.5376,0.5113,0.4897,0.4737,0.4637,0.4600,0.4628,0.4720,0.4872,0.5080,0.5337,0.5636,0.5965,0.6315,0.6674,0.7030,0.7373,0.7691,0.7973,0.8211,0.8397,0.8525],""mean_gx"":0.4000,""gx"":[0.7882,0.7523,0.7167,0.6824,0.6507,0.6224,0.5987,0.5801,0.5674,0.5609,0.5608,0.5671,0.5797,0.5981,0.6218,0.6499,0.6815,0.7157,0.7514,0.7873,0.8223,0.8553,0.8853,0.9112,0.9322,0.9476,0.9570,0.9600,0.9565,0.9468,0.9309,0.9096],""mean_gy"":0.5000,""gy"":[0.7086,0.6877,0.6723,0.6630,0.6600,0.6635,0.6734,0.6892,0.7106,0.7369,0.7671,0.8003,0.8354,0.8714,0.9069,0.9410,0.9724,1.0002,1.0235,1.0415,1.0536,1.0595,1.0589,1.0519,1.0387,1.0197,0.9956,0.9670,0.9351,0.9007,0.8650,0.8291],""mean_gz"":0.6000,""gz"":[0.7682,0.7815,0.8005,0.8247,0.8532,0.8852,0.9196,0.9554,0.9912,1.0261,1.0588,1.0884,1.1137,1.1342,1.1489,1.1576,1.1599,1.1558,1.1453,1.1288,1.1069,1.0802,1.0496,1.0162,0.9809,0.9450,0.9095,0.8757,0.8446,0.8172,0.7944,0.7770],""relayed_by"":2}"
